"direction","go_id","term_size","hit_count","pvalue","hit_symbols","padj","term"
"Higher in cluster 2","GO:0016064",109,63,4.18159817285561e-38,"IGHV1-69;C1S;C1R;IGHG1;IGHG3;IGHG4;IGHV3-30;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;IGHV3-15;IGHV7-4-1;IGHV3-20;IGHV1-58;IGHV3-53;IGHV1-69-2;IGHV3-64;IGHV4-61;IGHD;IGHV1-45",4.5554330495089e-34,"immunoglobulin mediated immune response"
"Higher in cluster 2","GO:0019724",114,63,1.68026979080197e-36,"IGHV1-69;C1S;C1R;IGHG1;IGHG3;IGHG4;IGHV3-30;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;IGHV3-15;IGHV7-4-1;IGHV3-20;IGHV1-58;IGHV3-53;IGHV1-69-2;IGHV3-64;IGHV4-61;IGHD;IGHV1-45",9.15242955049835e-33,"B cell mediated immunity"
"Higher in cluster 2","GO:0006955",1085,226,7.84467790979867e-36,"SLPI;LBP;PI3;LTF;SEMA3C;IL1R2;CRP;WFDC2;IGHV1-69;IKBKE;TRIM63;C1S;C1R;IGHG1;IGLV3-9;CXCL5;C4BPA;WFDC3;IGHG3;MDK;IGHG4;LEF1;IGHV3-30;GPR15LG;LCN2;IGLV3-10;IGLC2;IGHV3-43;IGKC;IGKV1-6;HAMP;POU2AF1;IGHV3-21;IGHV3-23;TRIM50;F2;TF;IGKV3-11;FCRL5;CCL19;IGHV1-69D;IGLV2-11;IGKV3-15;CDH17;IGHG2;IGHV5-51;IGLL5;IGLV1-44;IGKV3-20;IGKV1-5;IGLV4-69;REG3G;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;COLEC12;CR2;IGHV4-28;IGHV3-33;IGLV3-19;IGKV1-17;IGKV3D-20;DEFB1;IGHV3-73;IGHV1-24;VTN;FGA;IGLV3-1;IGLV3-21;APOL1;IGLV7-46;CFHR3;TRIM54;CLNK;LY96;IGLV2-14;IGHV5-10-1;CEBPB;IGLV1-40;ACKR2;IGKV3D-15;GARIN5A;CD19;IGHV2-5;IGHV4-39;ALOX5;IGKV3-7;IGLC3;FCRLA;IGKV1-12;IGLV3-25;CYP27B1;IGHV4-34;IGLV1-47;IGHV3-48;RNASE2;C2;IGHV4-4;LRRC15;IGHV3-11;IGHV3-72;IGLV6-57;IGLV2-23;IGHE;IGHA1;TREM1;IGHA2;IGHV1-3;IGKV4-1;KNG1;IGKV1-39;IGKV1-9;PYCARD;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHM;CCL26;TRIM17;IGKV1-8;IGHV1-46;WNT5A;TRAV27;IGLV10-54;IGHV3-66;IGHV3-49;CCL21;IGKV3D-11;IL6;PTX3;CFH;IGHV6-1;TNFRSF11A;IGKV2-30;TCF7;ENPP1;IGKV1-16;IGKV5-2;IGHV3-64D;FCRL2;ADAMDEC1;IGLV3-27;CCL11;IGKV1OR2-108;TNFSF14;IGKV2D-40;IGKV1D-8;IGKV1-27;IGLV8-61;IGHV4-59;IL2RA;IGLV7-43;SEMA7A;PRG4;IGLV2-18;IGKV2D-29;IGKV2-24;IGHV2-26;RARRES2;C8G;FCGR1A;IL1A;OPRD1;IGKV1D-39;C3;IGHV3-13;CXCL8;JCHAIN;VPREB3;IGLV2-8;IGLV9-49;CCR9;IGKV6D-21;REG1B;IGHV3-15;IGKV1D-16;IGLV1-36;DNASE1;ANKRD22;IL1RN;AIM2;IGHV7-4-1;CCL13;IGLV4-60;IL12B;CXCL13;IGHV3-20;CLEC17A;IGLV1-51;IGHV1-58;H2BC9;IGHV3-53;CR1;C9;CR1L;IGLV5-45;IRF4;IGHV1-69-2;IGKV1D-13;IGHV3-64;MS4A1;ANXA3;H2BC18;IGKV2D-24;IGHV4-61;IGLV5-37;CXCL1;OSM;TSLP;PIGR;CXCL6;IGKV6-21;FGB;PF4V1;FOXJ1;TNFSF11;CCL20;CCL18;IGKV2-29;IGHD;REG1A;CHIT1;IGHV1-45;UMOD",2.84866403831156e-32,"immune response"
"Higher in cluster 2","GO:0002449",170,67,2.24535470248463e-27,"IGHV1-69;C1S;C1R;IGHG1;C4BPA;IGHG3;IGHG4;IGHV3-30;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;CR2;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;IGHV3-15;IGHV7-4-1;IGHV3-20;IGHV1-58;IGHV3-53;CR1;CR1L;IGHV1-69-2;IGHV3-64;IGHV4-61;IGHD;IGHV1-45",6.1152235322169e-24,"lymphocyte mediated immunity"
"Higher in cluster 2","GO:0002376",1600,270,8.20960534126388e-27,"SLPI;SAA1;LBP;PI3;RAB3B;LTF;SEMA3C;IL1R2;CRP;WFDC2;IGHV1-69;IKBKE;LIMK1;TRIM63;C1S;HCAR2;C1R;IGHG1;IGLV3-9;CXCL5;CD79A;C4BPA;WFDC3;IGHG3;MDK;IGHG4;LEF1;IGHV3-30;GPR15LG;PDPN;LCN2;IGLV3-10;IGLC2;IGHV3-43;IGKC;ARTN;IGKV1-6;HAMP;POU2AF1;IGHV3-21;IGHV3-23;CD44;TRIM50;F2;TF;IGKV3-11;FCRL5;CCL19;IGHV1-69D;IGLV2-11;IGKV3-15;CDH17;AMPD3;IGHG2;IGHV5-51;IGLL5;IGLV1-44;IGKV3-20;IGKV1-5;IGLV4-69;REG3G;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;COLEC12;CR2;IGHV4-28;IGHV3-33;IGLV3-19;IGKV1-17;IGKV3D-20;DEFB1;CD177;IGHV3-73;CARD11;IGHV1-24;VTN;FGA;IGLV3-1;IGLV3-21;APOL1;IGLV7-46;CFHR3;TRIM54;CLNK;LY96;IGLV2-14;IGHV5-10-1;CEBPB;IGLV1-40;ACKR2;IGKV3D-15;GARIN5A;CD19;ADD2;IGHV2-5;IGHV4-39;ALOX5;IGKV3-7;IGLC3;FCRLA;IGKV1-12;IGLV3-25;CYP27B1;PMAIP1;IGHV4-34;IGLV1-47;IGHV3-48;RNASE2;EPHB2;C2;STK39;IGHV4-4;LRRC15;IGHV3-11;SPIB;IGHV3-72;IGLV6-57;IGLV2-23;IGHE;IGHA1;TREM1;IGHA2;IGHV1-3;GCNT1;IGKV4-1;KNG1;IGKV1-39;IGKV1-9;PYCARD;IGHV1-18;IGHV2-70D;IGHV1-2;FCHO1;IGHV3-74;IGHM;DHRS2;DAPK2;CCL26;TRIM17;IGKV1-8;IGHV1-46;WNT5A;TRAV27;IGLV10-54;IGHV3-66;IGHV3-49;CCL21;SKAP1;IGKV3D-11;IL6;PTX3;CFH;IGHV6-1;TNFRSF11A;IGKV2-30;TCF7;ENPP1;IGKV1-16;IGKV5-2;IGHV3-64D;VTCN1;ADAM8;FCRL2;ADAMDEC1;IGLV3-27;CCL11;IGKV1OR2-108;TNFSF14;IGKV2D-40;IGKV1D-8;IGKV1-27;IGLV8-61;IGHV4-59;IL2RA;IGLV7-43;SEMA7A;PRG4;IGLV2-18;IGKV2D-29;IGKV2-24;IGHV2-26;RARRES2;C8G;PAX5;FCGR1A;IL1A;OPRD1;IGKV1D-39;C3;IGHV3-13;CXCL8;JCHAIN;VPREB3;IGLV2-8;BLK;IGLV9-49;CCR9;IGKV6D-21;REG1B;IGHV3-15;IGKV1D-16;IGLV1-36;DNASE1;ANKRD22;IL1RN;AIM2;IGHV7-4-1;CCL13;CTSE;INHA;IGLV4-60;ADGRG3;IL12B;CXCL13;TNFRSF13C;HSH2D;IGHV3-20;CLEC17A;IGLV1-51;IGHV1-58;H2BC9;PODXL2;FOXP3;IGHV3-53;MT1G;CR1;C9;CR1L;IGLV5-45;IRF4;IGHV1-69-2;TNFRSF13B;PLPP4;IGKV1D-13;IGHV3-64;MS4A1;ANXA3;FYB2;H2BC18;IGKV2D-24;IGHV4-61;IGLV5-37;CXCL1;PITX2;DCSTAMP;OSM;TSLP;PIGR;TNIP3;CXCL6;LEP;IGKV6-21;FGB;PF4V1;FOXJ1;TNFSF11;SCG2;CCL20;CCL18;GPR35;IGKV2-29;IGHD;TBX1;REG1A;CHIT1;IGHV1-45;UMOD;EPO",1.68502149179225e-23,"immune system process"
"Higher in cluster 2","GO:0002460",198,72,9.28045616922481e-27,"IGHV1-69;C1S;C1R;IGHG1;C4BPA;IGHG3;IGHG4;LEF1;IGHV3-30;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;CR2;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IL6;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;IGHV3-15;IGHV7-4-1;IL12B;CXCL13;IGHV3-20;IGHV1-58;IGHV3-53;CR1;CR1L;IRF4;IGHV1-69-2;IGHV3-64;IGHV4-61;IGHD;IGHV1-45",1.68502149179225e-23,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"Higher in cluster 2","GO:0002443",209,73,7.42809950440516e-26,"IGHV1-69;C1S;C1R;IGHG1;C4BPA;IGHG3;IGHG4;IGHV3-30;GPR15LG;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;F2;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;CR2;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;CLNK;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;TREM1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IL6;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;IGHV3-15;IGHV7-4-1;IGHV3-20;IGHV1-58;IGHV3-53;CR1;CR1L;IGHV1-69-2;IGHV3-64;ANXA3;IGHV4-61;IGHD;IGHV1-45",1.15602451429985e-22,"leukocyte mediated immunity"
"Higher in cluster 2","GO:0002250",248,75,3.82365287380281e-22,"IGHV1-69;C1S;C1R;IGHG1;C4BPA;IGHG3;IGHG4;LEF1;IGHV3-30;IGLC2;IGHV3-43;IGKC;IGHV3-21;IGHV3-23;IGHV1-69D;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;CR2;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;IGHV5-10-1;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;IGHA2;IGHV1-3;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHM;IGHV1-46;IGHV3-66;IGHV3-49;IL6;IGHV6-1;TNFRSF11A;IGHV3-64D;IGHV4-59;IGHV2-26;FCGR1A;C3;IGHV3-13;JCHAIN;IGHV3-15;IGHV7-4-1;IL12B;CXCL13;IGHV3-20;IGHV1-58;IGHV3-53;CR1;CR1L;IRF4;IGHV1-69-2;IGHV3-64;IGHV4-61;IGHD;IGHV1-45",5.20685930090098e-19,"adaptive immune response"
"Higher in cluster 2","GO:0002252",339,88,9.02547967002674e-21,"LBP;CRP;IGHV1-69;C1S;C1R;IGHG1;C4BPA;IGHG3;MDK;IGHG4;LEF1;IGHV3-30;GPR15LG;IGLC2;IGHV3-43;IGKC;POU2AF1;IGHV3-21;IGHV3-23;F2;IGHV1-69D;CDH17;IGHG2;IGHV5-51;IGLL5;IGHV4-31;IGHV2-70;IGHV3-7;IGLC7;CR2;IGHV4-28;IGHV3-33;IGHV3-73;IGHV1-24;CFHR3;CLNK;IGHV5-10-1;CEBPB;CD19;IGHV2-5;IGHV4-39;IGLC3;IGHV4-34;IGHV3-48;C2;IGHV4-4;IGHV3-11;IGHV3-72;IGHE;IGHA1;TREM1;IGHA2;IGHV1-3;PYCARD;IGHV1-18;IGHV2-70D;IGHV1-2;IGHV3-74;IGHV1-46;IGHV3-66;IGHV3-49;IL6;CFH;IGHV6-1;IGHV3-64D;IGHV4-59;IGHV2-26;C8G;FCGR1A;C3;IGHV3-13;IGHV3-15;DNASE1;IGHV7-4-1;IL12B;IGHV3-20;IGHV1-58;IGHV3-53;CR1;C9;CR1L;IRF4;IGHV1-69-2;IGHV3-64;ANXA3;IGHV4-61;IGHD;IGHV1-45",1.09248417250301e-17,"immune effector process"
"Higher in cluster 2","GO:0006959",176,59,3.88893579572572e-20,"SLPI;PI3;LTF;WFDC2;C1S;C1R;IGHG1;CXCL5;WFDC3;IGHG3;IGHG4;HAMP;POU2AF1;F2;TF;CCL19;IGHG2;IGKV3-20;REG3G;CR2;DEFB1;FGA;CFHR3;ALOX5;C2;IGHE;IGHA1;TREM1;IGHA2;KNG1;IGHM;CCL26;CCL21;IL6;CFH;CCL11;RARRES2;C8G;C3;CXCL8;JCHAIN;REG1B;CCL13;CXCL13;H2BC9;CR1;C9;MS4A1;H2BC18;CXCL1;TSLP;CXCL6;FGB;PF4V1;FOXJ1;CCL20;CCL18;IGHD;REG1A",4.2366066558636e-17,"humoral immune response"
